OID_,MAX,Avg_Cap
135,3.75,1.785714286
136,4.550000191,1.785714286
137,4.75,1.785714286
138,3.549999952,1.785714286
139,3.949999809,1.785714286
140,3.75,1.785714286
141,3.549999952,1.785714286
142,4.150000095,1.785714286
143,3.149999857,1.785714286
144,4.349999905,1.785714286
145,4.550000191,1.785714286
146,3.549999952,1.785714286
147,4.150000095,1.785714286
148,3.949999809,1.785714286
149,3.949999809,1.785714286
150,4.349999905,1.785714286
151,4.349999905,1.785714286
152,3.549999952,1.785714286
153,4.349999905,1.785714286
154,3.75,1.785714286
155,4.550000191,1.785714286
156,3.75,1.785714286
157,4.75,1.785714286
158,3.950000048,1.785714286
159,4.150000095,1.785714286
160,3.949999809,1.785714286
161,4.75,1.785714286
162,4.349999905,1.785714286
163,4.349999905,1.785714286
164,3.75,1.785714286
165,3.75,1.785714286
166,4.75,1.785714286
167,4.550000191,1.785714286
168,3.549999952,1.785714286
169,4.150000095,1.785714286
170,4.349999905,1.785714286
171,3.949999809,1.785714286
172,3.549999952,1.785714286
173,3.549999952,1.785714286
174,4.150000095,1.785714286
175,4.349999905,1.785714286
176,4.150000095,1.785714286
177,3.950000048,1.785714286
178,3.75,1.785714286
179,3.75,1.785714286
180,4.75,1.785714286
181,3.949999809,1.785714286
182,4.75,1.785714286
183,4.349999905,1.785714286
184,3.75,1.785714286
185,3.75,1.785714286
186,3.75,1.785714286
187,4.150000095,1.785714286
188,4.349999905,1.785714286
189,3.450000048,1.85
190,3.849999905,1.85
191,3.450000048,1.85
192,3.650000095,1.85
193,4.050000191,1.85
194,3.450000048,1.85
195,4.050000191,1.85
196,3.650000095,1.85
197,3.350000143,1.85
198,3.849999905,1.85
199,3.150000095,1.85
200,3.450000048,1.85
201,3.849999905,1.85
202,4.050000191,1.85
203,3.849999905,1.85
204,3.650000095,1.85
205,4.050000191,1.85
206,3.650000095,1.85
207,3.650000095,1.85
208,3.650000095,1.85
209,3.450000048,1.85
210,4.050000191,1.85
211,4.050000191,1.85
212,3.650000095,1.85
213,3.849999905,1.85
214,3.650000095,1.85
215,3.450000048,1.85
216,3.849999905,1.85
217,3.650000095,1.85
218,4.050000191,1.85
219,4.050000191,1.85
220,3.150000095,1.85
221,3.450000048,1.85
222,3.650000095,1.85
223,3.650000095,1.85
224,3.650000095,1.85
225,4.050000191,1.85
226,3.150000095,1.85
227,3.75,1.85
228,3.350000143,1.85
229,3.849999905,1.85
230,3.650000095,1.85
231,3.650000095,1.85
232,3.450000048,1.85
233,3.650000095,1.85
234,3.150000095,1.85
235,3.650000095,1.85
236,3.849999905,1.85
237,4.050000191,1.85
238,3.849999905,1.85
239,4.050000191,1.85
240,3.650000095,1.85
241,3.450000048,1.85
242,3.650000095,1.85
243,3.150000095,1.85
244,4.050000191,1.85
245,3.650000095,1.85
246,4.050000191,1.85
247,3.650000095,1.85
248,3.450000048,1.85
249,4.050000191,1.85
250,3.650000095,1.85
251,3.450000048,1.85
252,3.650000095,1.85
253,3.450000048,1.85
254,3.650000095,1.85
255,3.849999905,1.85
256,3.650000095,1.85
257,3.450000048,1.85
258,3.450000048,1.85
259,3.150000095,1.85
260,3.549999952,1.85
261,3.849999905,1.85
262,3.650000095,1.85
263,3.350000143,1.85
264,3.849999905,1.85
265,3.650000095,1.85
266,3.450000048,1.85
267,3.350000143,1.85
268,3.849999905,1.85
269,3.450000048,1.85
270,4.050000191,1.85
271,3.650000095,1.85
272,3.650000095,1.85
273,3.150000095,1.85
274,3.350000143,1.85
275,3.350000143,1.85
276,3.650000095,1.85
277,3.650000095,1.85
278,4.050000191,1.85
279,3.350000143,1.85
280,3.650000095,1.85
281,3.650000095,1.85
282,3.650000095,1.85
283,4.050000191,1.85
284,4.050000191,1.85
285,3.450000048,1.85
286,3.150000095,1.85
287,4.050000191,1.85
288,3.650000095,1.85
289,3.450000048,1.85
290,3.650000095,1.85
291,3.450000048,1.85
292,3.650000095,1.85
293,4.050000191,1.85
294,3.849999905,1.85
295,3.650000095,1.85
296,3.450000048,1.85
297,3.849999905,1.85
298,4.050000191,1.85
299,3.450000048,1.85
300,3.650000095,1.85
301,3.849999905,1.85
302,4.050000191,1.85
303,3.549999952,1.85
304,4.050000191,1.85
305,4.050000191,1.85
306,3.350000143,1.85
307,3.75,1.85
308,3.549999952,1.85
309,3.650000095,1.85
310,3.650000095,1.85
311,3.350000143,1.85
312,3.450000048,1.85
313,3.650000095,1.85
314,3.650000095,1.85
315,3.450000048,1.85
316,3.650000095,1.85
317,4.050000191,1.85
318,3.350000143,1.85
319,3.150000095,1.85
320,4.050000191,1.85
321,3.650000095,1.85
322,3.849999905,1.85
323,3.650000095,1.85
324,4.25,1.8
325,4.349999905,1.8
326,4.25,1.8
327,4.25,1.8
328,4.349999905,1.8
329,4.349999905,1.8
330,4.25,1.8
331,3.949999809,1.8
332,3.949999809,1.8
333,4.650000095,1.8
334,4.650000095,1.8
335,4.349999905,1.8
336,4.25,1.8
337,4.349999905,1.8
338,3.950000048,1.8
339,4.650000095,1.8
340,3.949999809,1.8
341,4.25,1.8
342,3.949999809,1.8
343,4.349999905,1.8
344,4.650000095,1.8
345,4.349999905,1.8
346,3.949999809,1.8
347,4.349999905,1.8
348,3.949999809,1.8
349,4.650000095,1.8
350,4.650000095,1.8
351,4.25,1.8
352,4.650000095,1.8
353,3.949999809,1.8
354,4.650000095,1.8
355,4.25,1.8
356,3.949999809,1.8
357,4.25,1.8
358,4.650000095,1.8
359,4.25,1.8
360,4.650000095,1.8
361,4.25,1.8
362,3.949999809,1.8
363,4.650000095,1.8
364,4.349999905,1.8
365,4.650000095,1.8
366,4.349999905,1.8
367,4.25,1.8
368,4.349999905,1.8
369,4.349999905,1.8
370,3.949999809,1.8
371,4.650000095,1.8
372,4.650000095,1.8
373,4.349999905,1.8
374,4.650000095,1.8
375,3.949999809,1.8
376,4.25,1.8
377,4.25,1.8
378,3.949999809,1.8
379,4.25,1.8
380,4.25,1.8
381,4.650000095,1.8
382,4.650000095,1.8
383,4.349999905,1.8
384,4.650000095,1.8
385,4.650000095,1.8
386,4.650000095,1.8
387,3.949999809,1.8
388,3.949999809,1.8
389,4.650000095,1.8
390,4.25,1.8
391,4.25,1.8
392,3.949999809,1.8
393,4.25,1.8
394,4.650000095,1.8
395,4.25,1.8
396,3.949999809,1.8
397,4.349999905,1.8
398,3.949999809,1.8
399,4.349999905,1.8
400,4.349999905,1.8
401,4.349999905,1.8
402,4.650000095,1.8
403,4.349999905,1.8
404,4.349999905,1.8
405,4.650000095,1.8
406,4.349999905,1.8
407,3.950000048,1.8
408,3.949999809,1.8
409,4.349999905,1.8
410,4.650000095,1.8
411,4.349999905,1.8
412,4.349999905,1.8
413,4.650000095,1.8
414,4.25,1.8
415,4.349999905,1.8
416,3.949999809,1.8
417,4.25,1.8
418,4.349999905,1.8
419,4.349999905,1.8
420,4.349999905,1.8
421,4.25,1.8
422,4.349999905,1.8
423,3.950000048,1.8
424,4.349999905,1.8
425,4.349999905,1.8
426,4.349999905,1.8
427,4.25,1.8
428,4.349999905,1.8
429,4.349999905,1.8
430,4.650000095,1.8
431,4.650000095,1.8
432,4.25,1.8
433,4.349999905,1.8
434,3.949999809,1.8
435,4.150000095,1.79009009
436,4.150000095,1.79009009
437,3.850000143,1.79009009
438,3.850000143,1.79009009
439,3.650000095,1.79009009
440,4.150000095,1.79009009
441,3.850000143,1.79009009
442,3.650000095,1.79009009
443,4.150000095,1.79009009
444,3.650000095,1.79009009
445,3.949999809,1.79009009
446,4.349999905,1.79009009
447,4.050000191,1.79009009
448,4.150000095,1.79009009
449,3.949999809,1.79009009
450,4.349999905,1.79009009
451,3.949999809,1.79009009
452,4.150000095,1.79009009
453,4.150000095,1.79009009
454,3.850000143,1.79009009
455,3.650000095,1.79009009
456,4.150000095,1.79009009
457,3.650000095,1.79009009
458,4.25,1.79009009
459,3.850000143,1.79009009
460,4.349999905,1.79009009
461,4.449999809,1.79009009
462,4.050000191,1.79009009
463,3.850000143,1.79009009
464,3.949999809,1.79009009
465,4.150000095,1.79009009
466,3.650000095,1.79009009
467,4.150000095,1.79009009
468,3.850000143,1.79009009
469,4.75,1.79009009
470,4.75,1.79009009
471,4.349999905,1.79009009
472,3.949999809,1.79009009
473,3.25,1.79009009
474,3.650000095,1.79009009
475,3.949999809,1.79009009
476,4.75,1.79009009
477,4.75,1.79009009
478,3.650000095,1.79009009
479,3.949999809,1.79009009
480,4.150000095,1.79009009
481,4.150000095,1.79009009
482,3.650000095,1.79009009
483,4.150000095,1.79009009
484,4.349999905,1.79009009
485,3.650000095,1.79009009
486,4.449999809,1.79009009
487,3.949999809,1.79009009
488,4.150000095,1.79009009
489,3.949999809,1.79009009
490,3.850000143,1.79009009
491,4.150000095,1.79009009
492,4.349999905,1.79009009
493,3.949999809,1.79009009
494,4.150000095,1.79009009
495,3.949999809,1.79009009
496,3.850000143,1.79009009
497,4.150000095,1.79009009
498,3.650000095,1.79009009
499,4.150000095,1.79009009
500,3.949999809,1.79009009
501,4.349999905,1.79009009
502,4.150000095,1.79009009
503,3.949999809,1.79009009
504,4.150000095,1.79009009
505,4.75,1.79009009
506,4.550000191,1.79009009
507,4.150000095,1.79009009
508,4.75,1.79009009
509,3.949999809,1.79009009
510,4.75,1.79009009
511,3.949999809,1.79009009
512,3.650000095,1.79009009
513,4.150000095,1.79009009
514,4.050000191,1.79009009
515,4.150000095,1.79009009
516,4.349999905,1.79009009
517,3.25,1.79009009
518,3.75,1.79009009
